Holding,Symbol,Weighting
Apple Inc.,AAPL,11.01%
Microsoft Corporation,MSFT,10.36%
"Amazon.com, Inc.",AMZN,7.74%
Tesla Inc,TSLA,4.7%
Alphabet Inc. Class C,GOOG,4.12%
Alphabet Inc. Class A,GOOGL,3.87%
NVIDIA Corporation,NVDA,3.7%
"Facebook, Inc. Class A",FB,3.63%
"PayPal Holdings, Inc.",PYPL,2.15%
"Netflix, Inc.",NFLX,1.98%
Adobe Inc.,ADBE,1.98%
Comcast Corporation Class A,CMCSA,1.72%
"Cisco Systems, Inc.",CSCO,1.64%
"PepsiCo, Inc.",PEP,1.55%
Intel Corporation,INTC,1.52%
Broadcom Inc.,AVGO,1.43%
Costco Wholesale Corporation,COST,1.42%
Texas Instruments Incorporated,TXN,1.25%
Honeywell International Inc.,HON,1.06%
"T-Mobile US, Inc.",TMUS,1.04%
Intuit Inc.,INTU,1.03%
Qualcomm Inc,QCOM,0.99%
Starbucks Corporation,SBUX,0.94%
"Charter Communications, Inc. Class A",CHTR,0.91%
"Advanced Micro Devices, Inc.",AMD,0.91%
"Moderna, Inc.",MRNA,0.9%
"Intuitive Surgical, Inc.",ISRG,0.83%
Amgen Inc.,AMGN,0.82%
"Applied Materials, Inc.",AMAT,0.82%
Booking Holdings Inc.,BKNG,0.73%
"Analog Devices, Inc.",ADI,0.63%
"Automatic Data Processing, Inc.",ADP,0.62%
"Gilead Sciences, Inc.",GILD,0.61%
"Mondelez International, Inc. Class A",MDLZ,0.6%
Lam Research Corporation,LRCX,0.56%
"Micron Technology, Inc.",MU,0.54%
"MercadoLibre, Inc.",MELI,0.52%
CSX Corporation,CSX,0.52%
"Fiserv, Inc.",FISV,0.49%
"Illumina, Inc.",ILMN,0.45%
"JD.com, Inc. Sponsored ADR Class A",JD,0.44%
"Zoom Video Communications, Inc. Class A",ZM,0.44%
"Autodesk, Inc.",ADSK,0.43%
ASML Holding NV ADR,ASML,0.42%
"Activision Blizzard, Inc.",ATVI,0.42%
"Regeneron Pharmaceuticals, Inc.",REGN,0.41%
Atlassian Corp. Plc Class A,TEAM,0.39%
"Marvell Technology, Inc.",MRVL,0.38%
"IDEXX Laboratories, Inc.",IDXX,0.38%
"DexCom, Inc.",DXCM,0.37%
"Marriott International, Inc. Class A",MAR,0.37%
Keurig Dr Pepper Inc.,KDP,0.36%
"Align Technology, Inc.",ALGN,0.36%
"DocuSign, Inc.",DOCU,0.36%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.36%
KLA Corporation,KLAC,0.35%
NXP Semiconductors NV,NXPI,0.35%
"Workday, Inc. Class A",WDAY,0.35%
eBay Inc.,EBAY,0.35%
Lululemon Athletica Inc,LULU,0.34%
Exelon Corporation,EXC,0.34%
Vertex Pharmaceuticals Incorporated,VRTX,0.33%
Monster Beverage Corporation,MNST,0.33%
"Synopsys, Inc.",SNPS,0.32%
Kraft Heinz Company,KHC,0.32%
"Match Group, Inc.",MTCH,0.31%
"American Electric Power Company, Inc.",AEP,0.3%
Cintas Corporation,CTAS,0.3%
"Paychex, Inc.",PAYX,0.3%
Biogen Inc.,BIIB,0.3%
"O\'Reilly Automotive, Inc.",ORLY,0.3%
"Cadence Design Systems, Inc.",CDNS,0.3%
Baidu Inc Sponsored ADR Class A,BIDU,0.29%
Walgreens Boots Alliance Inc,WBA,0.29%
"Xilinx, Inc.",XLNX,0.28%
Cognizant Technology Solutions Corporation Class A,CTSH,0.28%
Electronic Arts Inc.,EA,0.28%
Microchip Technology Incorporated,MCHP,0.28%
"Ross Stores, Inc.",ROST,0.27%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.26%
Xcel Energy Inc.,XEL,0.24%
Verisk Analytics Inc,VRSK,0.24%
"Okta, Inc. Class A",OKTA,0.24%
"Copart, Inc.",CPRT,0.23%
Fastenal Company,FAST,0.22%
U.S. Dollar,Other,0.21%
"ANSYS, Inc.",ANSS,0.21%
PACCAR Inc,PCAR,0.21%
"Seagen, Inc.",SGEN,0.21%
"NetEase, Inc. Sponsored ADR",NTES,0.2%
"Skyworks Solutions, Inc.",SWKS,0.19%
"Sirius XM Holdings, Inc.",SIRI,0.18%
Splunk Inc.,SPLK,0.18%
"Peloton Interactive, Inc. Class A",PTON,0.17%
CDW Corp.,CDW,0.17%
"Dollar Tree, Inc.",DLTR,0.16%
"VeriSign, Inc.",VRSN,0.16%
Cerner Corporation,CERN,0.15%
Trip.com Group Ltd. Sponsored ADR,TCOM,0.12%
Check Point Software Technologies Ltd.,CHKP,0.11%
Incyte Corporation,INCY,0.1%
Fox Corporation Class A,FOXA,0.1%
Fox Corporation Class B,FOX,0.07%
